"(45089, 'past medical history'),",1
" (41958, 'discharge medications'),",1
" (41475, 'allergies'),",1
" (41104, 'discharge diagnosis'),",1
" (40828, 'discharge disposition'),",1
" (39640, 'medications on admission'),",1
" (39380, 'physical exam'),",1
" (38759, 'brief hospital course'),",1
" (38742, 'chief complaint'),",0
" (38734, 'major surgical or invasive procedure'),",0
" (38619, 'discharge condition'),",1
" (38588, 'history of present illness'),",1
" (38588, 'discharge instructions'),",1
" (38098, 'social history'),",0
" (37919, 'pertinent results'),",0
" (37733, 'family history'),",0
" (37677, 'followup instructions'),",1
" (26672, 'facility'),",0
" (14089, 'impression'),",0
" (6678, 'discharge diagnoses'),",1
" (4708, 'admission labs'),",0
" (4407, 'service'),",0
" (4091, 'imaging'),",0
" (4084, 'pulses'),",0
" (3757, '[**hospital 93**] medical condition'),",1
" (3752, 'reason for this examination'),",0
" (3455, 'primary'),",0
" (3290, 'secondary'),",0
" (3179, 'discharge labs'),",0
" (2934, 'addendum'),",1
" (2718, 'on admission'),",1
" (2515, 'medications'),",1
" (2218, 'primary diagnosis'),",1
" (2205, 'neuro'),",0
" (2121, 'cranial nerves'),",0
" (1975, 'review of systems'),",1
" (1949, 'micro'),",0
" (1856, 'medications on discharge'),",1
" (1845, 'past surgical history'),",0
" (1757, 'findings'),",1
" (1753, 'final diagnosis'),",1
" (1722, 'on discharge'),",1
" (1657, 'microbiology'),",0
" (1602, 'hospital course'),",1
" (1526, 'secondary diagnosis'),",1
" (1474, 'secondary diagnoses'),",1
" (1448, 'labs on admission'),",0
" (1423, 'transitional issues'),",1
" (1420, 'studies'),",0
" (1342, 'conclusions'),",1
" (1316, 'other past medical history'),",1
" (1300, 'incisions'),",0
" (1165, 'pmh'),",1
" (1155, 'admission exam'),",1
" (1130, 'admission physical exam'),",1
" (1113, 'discharge exam'),",1
" (1092, 'cardiac history'),",1
" (1078, 'following'),",1
" (1008, 'admission'),",1
" (961, 'labs'),",0
" (958, 'pantoprazole sodium 40 mg tablet, delayed release (e.c.) sig'),",0
" (936, 'primary diagnoses'),",1
" (875, 'medication changes'),",1
" (874, 'comments'),",0
" (861, 'labs on discharge'),",0
" (826, 'neurologic'),",0
" (809, 'care recommendations'),",1
" (768, 'medications on transfer'),",1
" (765, 'the following changes were made to your medications'),",1
" (719, 'discharge physical exam'),",1
" (717, 'cxr'),",0
" (712, 'general'),",1
" (689, 'discharge'),",1
" (687, 'neurologic examination'),",0
" (682, 'motor'),",0
" (633, 'diagnosis'),",1
" (625, 'immunizations recommended'),",0
" (598, 'what activities you can and cannot do'),",0
" (584, 'medications at home'),",1
" (580, 'pre-bypass'),",0
" (578, 'interpretation'),",0
" (575, 'psh'),",0
" (559, 'we made the following changes to your medications'),",1
" (543, 'incision care'),",0
" (542, 'active issues'),",0
" (534, 'what to report to office'),",0
" (492, 'cardiology'),",1
" (487, 'cardiac enzymes'),",0
" (482, 'home medications'),",1
" (460, 'radiology'),",0
" (460, 'echo'),",0
" (450, 'physical exam on admission'),",1
" (438, 'admission medications'),",1
" (434, 'physical therapy'),",1
" (425, 'reflexes'),",0
" (422, 'measurements'),",1
" (419, 'you are scheduled for the following appointments'),",0
" (406, '-dtrs'),",0
" (397, 'activity'),",0
" (392, '-cranial nerves'),",0
" (391, 'care and recommendations'),",1
" (384, 'pe'),",0
" (378, 'treatments frequency'),",1
" (364, 'review of sytems'),",1
" (361, 'at discharge'),",1
" (347, 'wound care'),",0
" (347, 'ros'),",0
" (347, 'primary care'),",1
" (343, 'urine'),",0
" (341, 'hospital course by system'),",1
" (340, 'what to expect when you go home'),",0
" (340, 'physical examination'),",1
" (339, 'hospital course by systems'),",1
" (338, 'chronic issues'),",1
" (331, '[**last name (namepattern4) 2138**]p instructions'),",0
" (311, 'summary of hospital course by systems'),",1
" (310, 'regional left ventricular wall motion'),",0
" (307, 'physical exam on discharge'),",1
" (300, 'upon admission'),",1
" (300, 'meds on transfer'),",1
" (296, 'cbc'),",0
" (283, 'post-bypass'),",0
" (273, 'contraindications for iv contrast'),",0
" (268, 'ct head'),",0
" (267, 'pertinent labs'),",0
" (264, 'micu course'),",1
" (258, 'conclusion'),",1
" (246, 'acid fast culture (preliminary)'),",0
" (243, 'we have made the following changes to your medications'),",1
" (243, 'pmhx'),",1
" (243, 'please call to schedule the following'),",0
" (240, 'mental status'),",0
" (235, 'metoprolol succinate 25 mg tablet extended release 24 hr sig'),",0
" (234, 'reports'),",1
" (233, 'ekg'),",0
" (229, 'recommendations'),",0
" (224, 'pathology'),",0
" (219, 'pre-cpb'),",0
" (219, 'hematology'),",0
" (217, 'sensory'),",0
" (217, 'exam on discharge'),",1
" (216, 'post-cpb'),",0
" (216, 'oncologic history'),",1
" (216, 'blood culture, routine (preliminary)'),",0
" (215, 'upon discharge'),",1
" (215, 'procedure'),",0
" (214, 'data'),",0
" (213, 'coags'),",0
" (205, 'chemistries'),",0
" (204, 'we made the following changes to your medicines'),",1
" (204, 'images'),",0
" (203, 'the following changes have been made to your medications'),",1
" (197, 'metoprolol succinate 50 mg tablet extended release 24 hr sig'),",0
" (197, 'clinical implications'),",1
" (196, 'past oncologic history'),",1
" (194, 'medications prior to admission'),",1
" (192, 'fungal culture (preliminary)'),",0
" (190, '-percutaneous coronary interventions'),",0
" (189, 'tte'),",1
" (186, 'please call to schedule appointments with'),",0
" (184, 'stomach'),",0
" (184, 'other labs'),",0
" (184, 'emergency department for any of the following'),",1
" (181, 'respiratory culture (preliminary)'),",0
" (172, 'meds'),",1
" (172, 'changes to your medications'),",1
" (171, 'inactive issues'),",0
" (170, 'injuries'),",0
" (170, 'care and recommendations at the time of discharge'),",0
" (168, 'plan'),",0
" (167, 'labs at discharge'),",0
" (165, '[ ] abnormal findings'),",0
" (161, 'cardiac'),",1
" (160, 'home meds'),",1
" (159, '[**location (un) **] physician'),",0
" (157, 'imaging studies'),",0
" (153, 'chemistry'),",0
" (150, 'follow up'),",1
" (150, 'blood culture, routine (pending)'),",0
" (149, 'lfts'),",1
" (149, 'general discharge instructions'),",1
" (149, 'admit labs'),",0
" (146, 'follow-up appointments'),",0
" (146, 'final diagnoses'),",1
" (145, 'admission pe'),",1
" (143, 'metoprolol succinate 50 mg tablet sustained release 24hr sig'),",0
" (143, 'cardiovascular'),",1
" (140, 'other pertinent labs'),",0
" (140, 'at admission'),",1
" (139, 'icu course'),",1
" (139, 'exam on admission'),",1
" (139, 'cv'),",0
" (136, 'follow-up'),",1
" (134, 'technical factors'),",0
" (133, 'hospital course by problem'),",1
" (132, 'anesthesia'),",0
" (131, 'metoprolol succinate 25 mg tablet sustained release 24hr sig'),",0
" (130, 'admission physical examination'),",1
" (129, 'the following'),",1
" (127, 'impressions'),",0
" (127, 'discharge pe'),",1
" (126, 'outpatient medications'),",1
" (126, 'have any of the following'),",0
" (126, 'follows'),",1
" (125, 'cardiac cath supplies used'),",0
" (124, 'other'),",1
" (122, 'please make the following changes to your medications'),",1
" (122, 'anticoagulation'),",0
" (121, 'post cpb'),",0
" (121, 'on'),",0
" (121, 'indications for catheterization'),",0
" (118, 'transfer medications'),",1
" (118, 'summary of hospital course'),",1
" (118, 'procedures'),",0
" (118, 'duodenum'),",0
" (117, 'laboratory data'),",0
" (117, 'it is normal to have slight swelling of the legs'),",0
" (116, 'immediately after the operation'),",1
" (116, 'diagnoses'),",1
" (115, 'egd'),",0
" (115, 'cardiac cath'),",0
" (114, 'transitions of care'),",1
" (114, 'micro data'),",0
" (113, 'pshx'),",0
" (113, 'neurology'),",0
" (112, 'summary of hospital course by system'),",1
" (112, 'preoperative medications'),",1
" (111, 'ct chest'),",0
" (110, 'transitional care issues'),",1
" (109, 'ecg'),",0
" (108, 'id'),",0
" (105, 'premedications'),",1
" (105, 'cultures'),",0
" (105, 'cn'),",0
" (105, 'active diagnoses'),",1
" (104, 'vitals'),",1
" (104, 'new medications'),",1
" (104, 'head ct'),",0
" (103, 'primary reason for hospitalization'),",1
" (102, 'diet'),",0
" (101, 'return to the er if'),",0
" (101, 'neurological exam'),",0
" (101, 'acid fast culture (pending)'),",0
" (99, 'you have the following appointments scheduled'),",0
" (99, 'outpatient issues'),",1
" (99, 'meds at home'),",1
" (99, 'again. in general'),",0
" (98, 'recommended immunizations'),",0
" (98, 'assessment and plan'),",0
" (98, 'admission diagnoses'),",1
" (97, 'you have the following appointments'),",0
" (97, 'urine studies'),",0
" (97, 'relevant labs'),",0
" (97, 'other medication'),",1
" (96, 'please call your doctor or go to the emergency department if'),",1
" (96, 'labs at admission'),",0
" (95, 'urine culture (preliminary)'),",0
" (95, 'hpi'),",0
" (95, 'admission diagnosis'),",1
" (94, 'infectious disease'),",0
" (94, 'admission physical'),",1
" (93, 'floor course'),",1
" (93, 'eeg'),",0
" (92, 'please keep the following appointments'),",0
" (92, 'anemia'),",0
" (91, 'physical examination on admission'),",1
" (91, 'fen'),",0
" (90, 'vs'),",0
" (90, 'iron and vitamin d supplementation'),",0
" (90, 'ext'),",0
" (90, 'chronic diagnoses'),",1
" (89, 'sublingual sublingual prn (as needed) as needed for chest pain'),",0
" (89, 'please note the following changes to your medications'),",1
" (89, 'on transfer'),",0
" (89, 'on presentation'),",0
" (89, 'gi'),",0
" (89, 'call 911 or go to the nearest emergency room if you experience'),",0
" (88, 'when to call your surgeon'),",0
" (88, 'physician immediately if you experience'),",0
" (88, 'gross'),",0
" (88, 'cta chest'),",0
" (88, 'complications developing. these complications include'),",0
" (87, 'physical exam upon discharge'),",1
" (87, '[**last name (namepattern4) 4125**]ospital course'),",0
" (86, 'relevant imaging'),",0
" (85, 'the following changes were made to your medication regimen'),",1
" (85, 'prophylaxis'),",0
" (85, 'osh labs'),",0
" (85, 'fluid restriction'),",0
" (85, 'cardiac risk factors'),",1
" (85, '-cabg'),",0
" (84, 'postbypass'),",0
" (84, 'other tobacco use'),",0
" (84, 'it is normal to have incisional and leg swelling'),",0
" (84, 'heent'),",1
" (84, 'current medications'),",1
" (82, 'exam'),",1
" (81, 'cta'),",0
" (80, 'criteria'),",0
" (80, '[**location (un) **] diagnosis'),",1
" (79, 'contrast injected'),",0
" (79, '10. potassium chloride 10 meq capsule, sustained release sig'),",0
" (78, 'sensation'),",0
" (77, 'urinalysis'),",0
" (76, 'vital signs'),",1
" (76, 'transition of care issues'),",1
" (76, 'transition of care'),",1
" (75, 'meds on admission'),",1
" (74, 'upon presentation to [**hospital1 18**]'),",1
" (74, 'follow-up plans'),",1
" (73, 'renal'),",0
" (73, 'pulmonary'),",0
" (73, 'mra of the head'),",0
" (73, 'heme'),",0
" (72, 'strength'),",0
" (72, 'please call us immediately for any of the following problems'),",1
" (71, 'wound culture (preliminary)'),",0
" (71, 'coordination'),",0
" (71, 'abg'),",0
" (70, 'results'),",0
" (70, 'discharge physical'),",1
" (69, '[**location (un) **] condition'),",0
" (68, 'note'),",1
" (68, 'medication instructions'),",1
" (68, 'follow up appointments'),",0
" (68, 'below'),",0
" (67, 'other past history'),",1
" (66, 'ct torso'),",0
" (66, '[**hospital1 **] medications'),",1
" (65, 'follow-up appointment'),",0
" (65, 'cautions'),",0
" (65, 'born between 32 and 35 weeks with two of the following'),",0
" (65, '[**location (un) **] instructions'),",1
" (64, 'neurologic exam'),",0
