omop_table,omop_column,omop_required,mimic_table,mimic_column,comments
VOCABULARY,vocabulary_id,Yes,,,
VOCABULARY,vocabulary_name,Yes,,,
VOCABULARY,vocabulary_reference,Yes,,,
VOCABULARY,vocabulary_version,Yes,,,
VOCABULARY,vocabulary_concept_id,Yes,,,
|0|None|
|1|[SNOMED](http://www.ohdsi.org/web/wiki/doku.php?id=documentation:vocabulary:snomed)|
|2|[ICD9CM](http://www.ohdsi.org/web/wiki/doku.php?id=documentation:vocabulary:icd9cm)|
|3|ICD9Proc|
|4|[CPT4](http://www.ohdsi.org/web/wiki/doku.php?id=documentation:vocabulary:cpt4)|
|5|HCPCS|
|6|[LOINC](http://www.ohdsi.org/web/wiki/doku.php?id=documentation:vocabulary:loinc)|
|7|NDFRT|
|8|[RxNorm](http://www.ohdsi.org/web/wiki/doku.php?id=documentation:vocabulary:rxnorm)|
|9|[NDC](http://www.ohdsi.org/web/wiki/doku.php?id=documentation:vocabulary:ndc)|
|10|GPI|
|11|[UCUM](http://www.ohdsi.org/web/wiki/doku.php?id=documentation:vocabulary:ucum)|
|12|[Gender](http://www.ohdsi.org/web/wiki/doku.php?id=documentation:vocabulary:gender)|
|13|Race|
|14|Place of Service|
|15|MedDRA|
|16|Multum|
|17|Read|
|18|OXMIS|
|19|Indication|
|20|ETC|
|21|[ATC](http://www.ohdsi.org/web/wiki/doku.php?id=documentation:vocabulary:atc)|
|22|Multilex|
|24|Visit|
|28|VA Product|
|31|SMQ|
|32|VA Class|
|33|Cohort|
|34|[ICD10](http://www.ohdsi.org/web/wiki/doku.php?id=documentation:vocabulary:icd10)|
|35|[ICD10PCS](http://www.ohdsi.org/web/wiki/doku.php?id=documentation:vocabulary:icd10pcs)|
|36|Drug Type|
|37|Condition Type|
|38|Procedure Type|
|39|Observation Type|
|40|DRG|
|41|MDC|
|42|APC|
|43|Revenue Code|
|44|[Ethnicity](http://www.ohdsi.org/web/wiki/doku.php?id=documentation:vocabulary:ethnicity)|
|45|Death Type|
|46|[Mesh](http://www.ohdsi.org/web/wiki/doku.php?id=documentation:vocabulary:mesh)|
|47|NUCC|
|48|Specialty|
|49|[LOINC](http://www.ohdsi.org/web/wiki/doku.php?id=documentation:vocabulary:loinc)|
|50|SPL|
|53|Genseqno|
|54|CCS|
|55|OPCS4|
|56|Gemscript|
|57|HES Specialty|
|58|Note Type|
|59|Domain|
|60|PCORNet|
|61|Obs Period Type|
|62|Visit Type|
|63|Device Type|
|64|Meas Type|
|65|[Currency](http://www.ohdsi.org/web/wiki/doku.php?id=documentation:vocabulary:currency)|
|66|Relationship|
|67|Vocabulary|
|68|Concept Class|
|69|Cohort Type|
|70|[ICD10CM](http://www.ohdsi.org/web/wiki/doku.php?id=documentation:vocabulary:icd10cm)|
